no of vectors,no of procs,itter,error,time
10000000,4,5,0.003139,7832418
10000000,5,1,0.003138,7611127
10000000,5,2,0.003139,7630172
10000000,5,3,0.003138,7604198
10000000,5,4,0.003138,7716271
10000000,5,5,0.003138,7614047
10000000,6,1,0.003139,7499936
10000000,6,2,0.003139,7498577
10000000,6,3,0.003139,7533521
10000000,6,4,0.003138,7500618
10000000,6,5,0.003138,7501057
10000000,7,1,0.003138,7420227
10000000,7,2,0.003140,7424958
10000000,7,3,0.003138,7419351
10000000,7,4,0.003140,7417733
10000000,7,5,0.003138,7427361
10000000,8,1,0.003138,7357167
10000000,8,2,0.003137,7342974
10000000,8,3,0.003139,7352839
10000000,8,4,0.003139,7347846
10000000,8,5,0.003138,7369897
