no of vectors,no of procs,itter,error,time
10000000,7,1,0.001598288533069266,22.27327251434326
10000000,7,2,0.001598113407762315,21.918102979660034
10000000,7,3,0.001597817472925373,21.87079644203186
10000000,7,4,0.0015975707888399187,22.008850574493408
10000000,7,5,0.0015976800332657907,21.870966911315918
10000000,8,1,0.0015973089497935671,21.055437326431274
10000000,8,2,0.0015978892944651729,21.042956829071045
10000000,8,3,0.0015975566795430334,21.638580322265625
10000000,8,4,0.0015979925551957966,22.179468870162964
10000000,8,5,0.0015981655971661663,21.872154235839844
