no of vectors,no of procs,itter,error,time
100000,3,5,1.788521788313613,1.5200307369232178
100000,4,1,1.7853587581604018,1.1808626651763916
100000,4,2,1.7858385828342818,1.1856682300567627
100000,4,3,1.786602175256805,1.2883164882659912
100000,4,4,1.7880683586049217,1.1947801113128662
100000,4,5,1.7822328364658402,1.2216782569885254
100000,5,1,1.7866714338216831,1.0669708251953125
100000,5,2,1.7898509113935666,0.9969854354858398
100000,5,3,1.7881142990752823,1.0975935459136963
100000,5,4,1.7833085093625047,1.076319932937622
100000,5,5,1.7850732115625951,1.0913338661193848
100000,6,1,1.7831286785929836,0.8836309909820557
100000,6,2,1.7834727488462243,0.8981268405914307
100000,6,3,1.7874133589982297,0.9637782573699951
100000,6,4,1.7846298001401986,0.9453649520874023
100000,6,5,1.7842170960415025,0.9529845714569092
100000,7,1,1.7894127953447108,0.8706305027008057
100000,7,2,1.7872043523696581,0.855931282043457
100000,7,3,1.7873784371705406,0.8742437362670898
100000,7,4,1.786468839043539,0.8542335033416748
100000,7,5,1.7890568895752639,0.8211219310760498
100000,8,1,1.7893025521268726,0.7796294689178467
100000,8,2,1.7878988545925156,0.7771508693695068
100000,8,3,1.787152539566934,0.9960322380065918
100000,8,4,1.7839902459903174,0.7775089740753174
100000,8,5,1.7862808970419726,0.7752101421356201
1000000,1,1,1.786265983666523,48.85181951522827
1000000,1,2,1.7861717440777092,49.49921131134033
1000000,1,3,1.7856683862741751,51.7702374458313
1000000,1,4,1.7849265006617485,51.83212947845459
1000000,1,5,1.785358855759334,51.43144249916077
1000000,2,1,1.7852621946901344,26.252804279327393
1000000,2,2,1.785266074451019,25.895576238632202
1000000,2,3,1.7851842253863677,26.085402011871338
1000000,2,4,1.7858682798476044,25.973634243011475
1000000,2,5,2.0585265194779785,25.79812741279602
1000000,3,1,1.7861741881249351,17.8674213886261
1000000,3,2,1.7856404621523936,17.45753812789917
1000000,3,3,1.7868053361948955,17.37796640396118
1000000,3,4,1.7864498619912812,17.5711088180542
1000000,3,5,1.7867691012274471,17.415377616882324
1000000,4,1,1.7870226935465823,13.406371831893921
1000000,4,2,1.7860828177702919,13.459877729415894
1000000,4,3,2.0584931395424437,13.242902994155884
1000000,4,4,1.78599639760746,13.438706398010254
1000000,4,5,1.7869781594540433,13.338072538375854
1000000,5,1,1.7859325945794036,12.025757551193237
1000000,5,2,1.7851913279035376,11.116788148880005
1000000,5,3,1.7865230113238941,11.03507685661316
1000000,5,4,2.058556424842251,11.901580810546875
1000000,5,5,1.7855755714700015,11.01169466972351
1000000,6,1,1.785917154662297,9.536822319030762
1000000,6,2,1.785714309567301,9.466127395629883
1000000,6,3,1.7861228411916048,9.5736665725708
1000000,6,4,1.7848555851892327,9.574404001235962
1000000,6,5,1.7858097787592768,9.652129650115967
1000000,7,1,1.7867443427008851,8.42329716682434
1000000,7,2,1.7851534646054164,8.47719669342041
1000000,7,3,1.7858914245144015,8.572548627853394
1000000,7,4,2.057251831272888,8.427671909332275
1000000,7,5,1.7856349887507286,8.487102508544922
1000000,8,1,1.7856354981542553,7.843857288360596
1000000,8,2,1.7858319914889724,7.6888182163238525
1000000,8,3,1.78556596928868,7.727348327636719
1000000,8,4,1.7858376411365375,7.728801012039185
1000000,8,5,1.7860410314771515,7.754831552505493
10000000,1,1,1.786223170263914,550.796028137207
10000000,1,2,1.785988221511605,538.6998665332794
10000000,1,3,1.7861508681544298,528.6209237575531
10000000,1,4,1.815058103695344,523.6318621635437
10000000,1,5,1.7857562250458503,531.5802316665649
10000000,2,1,1.8151934700905734,268.3814296722412
10000000,2,2,1.815149781546355,265.8988788127899
10000000,2,3,1.7856791744680263,269.92043828964233
10000000,2,4,1.8152028752971299,268.64831161499023
10000000,2,5,1.814784962865136,267.3492696285248
10000000,3,1,1.7863242466634917,185.42390251159668
10000000,3,2,1.8148256022828027,186.6983277797699
10000000,3,3,1.786075829487832,179.63270664215088
10000000,3,4,1.785941691580495,180.92312121391296
10000000,3,5,1.8437503495138994,180.89765548706055
10000000,4,1,1.7859060440982732,137.62222051620483
10000000,4,2,1.815335610013637,142.22271084785461
10000000,4,3,1.843751671536603,140.156396150589
10000000,4,4,1.8151374969598022,138.9741325378418
10000000,4,5,1.786072572565375,140.4259045124054
10000000,5,1,1.7859122414682234,118.89240026473999
10000000,5,2,1.7863437182708917,118.27843046188354
10000000,5,3,1.7859444399929514,116.27580165863037
10000000,5,4,1.8439129629546387,117.22367525100708
10000000,5,5,1.7858254425394462,116.04742622375488
10000000,6,1,1.8152601216576092,99.93372464179993
10000000,6,2,1.8152354360609178,101.14935898780823
10000000,6,3,1.786015427249779,103.41180348396301
10000000,6,4,1.8437550311274973,99.84743452072144
10000000,6,5,1.786034935245963,101.41787791252136
10000000,7,1,1.8151202114082874,89.58832836151123
10000000,7,2,1.8435517368463485,90.82048201560974
10000000,7,3,1.9000335860410549,88.10250949859619
10000000,7,4,1.7860993719691622,88.50146389007568
10000000,7,5,1.7859440467837049,88.75003170967102
10000000,8,1,1.7862482157621644,80.02427458763123
10000000,8,2,1.8720627914646355,79.57601261138916
10000000,8,3,1.7860019725166871,79.49963021278381
10000000,8,4,1.7859232621247674,84.0873281955719
10000000,8,5,1.815002118314842,79.52742052078247
